ROOT: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2
DEVICE: cuda
TOKENIZER_PATH: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/tokenizer/my_trained_tokenizer.json
TOKENIZED_DIR: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/tokenized_cache
USE_AMP: False
USE_LR_SCHEDULER: True
EPOCHS: 5
BATCH_SIZE: 64
GRAD_ACCUM_STEPS: 8
EFFECTIVE_BATCH_SIZE: 512
TRAIN_CHUNK_SIZE: 500000
WARMUP_STEPS: 8000
BASE_LR: 0.0005
SHUFFLE_CHUNKS: False
CHUNK_SHUFFLE_SEED: 42
Loading tokenized dataset from disk...
Train examples: 4508785
Validation examples: 3000
Test examples: 3003
Loaded full checkpoint from: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/checkpoints/lab2_en_de_latest.pt
Restored model / optimizer / scheduler / scaler state.
Epoch to resume: 4
Resume offset within epoch: 4000000
Samples trained so far: 4000000
Current LR: 2.311077e-04
Checkpoint batch_size: 64
Checkpoint effective_batch_size: 512
Completed chunks in current epoch: 8
Smoke test loss: 3.215855360031128

========== EN→DE Epoch 4/5 ==========
Resuming from training example offset 4000000
Epoch chunk progress: completed 8/10 | remaining 2
Training chunk 1/2 (global 9/10) | 4000000:4500000 / 4508785
Batch 0 | LR 2.311077e-04 | Loss 3.2158 | AccumStep 1/8
Batch 100 | LR 2.310698e-04 | Loss 2.7983 | AccumStep 5/8
Batch 200 | LR 2.310287e-04 | Loss 3.0148 | AccumStep 1/8
Batch 300 | LR 2.309909e-04 | Loss 2.7927 | AccumStep 5/8
Batch 400 | LR 2.309499e-04 | Loss 2.7029 | AccumStep 1/8
Batch 500 | LR 2.309120e-04 | Loss 2.8096 | AccumStep 5/8
Batch 600 | LR 2.308711e-04 | Loss 2.8833 | AccumStep 1/8
Batch 700 | LR 2.308333e-04 | Loss 3.0683 | AccumStep 5/8
Batch 800 | LR 2.307923e-04 | Loss 3.2064 | AccumStep 1/8
Batch 900 | LR 2.307546e-04 | Loss 3.2396 | AccumStep 5/8
Batch 1000 | LR 2.307137e-04 | Loss 2.9109 | AccumStep 1/8
Batch 1100 | LR 2.306760e-04 | Loss 3.2071 | AccumStep 5/8
Batch 1200 | LR 2.306352e-04 | Loss 3.0208 | AccumStep 1/8
Batch 1300 | LR 2.305975e-04 | Loss 2.8459 | AccumStep 5/8
Batch 1400 | LR 2.305567e-04 | Loss 2.8638 | AccumStep 1/8
Batch 1500 | LR 2.305190e-04 | Loss 2.9496 | AccumStep 5/8
Batch 1600 | LR 2.304783e-04 | Loss 2.9686 | AccumStep 1/8
Batch 1700 | LR 2.304407e-04 | Loss 2.7595 | AccumStep 5/8
Batch 1800 | LR 2.304000e-04 | Loss 2.8501 | AccumStep 1/8
Batch 1900 | LR 2.303624e-04 | Loss 2.6026 | AccumStep 5/8
Batch 2000 | LR 2.303217e-04 | Loss 2.7820 | AccumStep 1/8
Batch 2100 | LR 2.302842e-04 | Loss 3.0185 | AccumStep 5/8
Batch 2200 | LR 2.302436e-04 | Loss 2.8450 | AccumStep 1/8
Batch 2300 | LR 2.302061e-04 | Loss 2.9125 | AccumStep 5/8
Batch 2400 | LR 2.301655e-04 | Loss 2.7560 | AccumStep 1/8
Batch 2500 | LR 2.301281e-04 | Loss 3.0215 | AccumStep 5/8
Batch 2600 | LR 2.300875e-04 | Loss 2.8633 | AccumStep 1/8
Batch 2700 | LR 2.300501e-04 | Loss 2.9433 | AccumStep 5/8
Batch 2800 | LR 2.300096e-04 | Loss 2.9624 | AccumStep 1/8
Batch 2900 | LR 2.299722e-04 | Loss 2.6768 | AccumStep 5/8
Batch 3000 | LR 2.299317e-04 | Loss 2.7637 | AccumStep 1/8
